FMT, 128, 89, FMT, BBnNZ, Type,Length,Name,Format,Columns
FMT, 167, 37, BAT, Qfffffcf, TimeUS,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res
FMT, 168, 37, BAT2, Qfffffcf, TimeUS,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res
FMT, 169, 37, BAT3, Qfffffcf, TimeUS,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res
FMT, 170, 37, BAT4, Qfffffcf, TimeUS,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res
FMT, 171, 37, BAT5, Qfffffcf, TimeUS,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res
FMT, 172, 37, BAT6, Qfffffcf, TimeUS,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res
FMT, 173, 37, BAT7, Qfffffcf, TimeUS,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res
FMT, 174, 37, BAT8, Qfffffcf, TimeUS,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res
FMT, 175, 37, BAT9, Qfffffcf, TimeUS,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res
FMT, 176, 35, BCL, QfHHHHHHHHHH, TimeUS,Volt,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
FMT, 177, 35, BCL2, QfHHHHHHHHHH, TimeUS,Volt,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
FMT, 178, 35, BCL3, QfHHHHHHHHHH, TimeUS,Volt,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
FMT, 179, 35, BCL4, QfHHHHHHHHHH, TimeUS,Volt,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
FMT, 180, 35, BCL5, QfHHHHHHHHHH, TimeUS,Volt,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
FMT, 181, 35, BCL6, QfHHHHHHHHHH, TimeUS,Volt,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
FMT, 182, 35, BCL7, QfHHHHHHHHHH, TimeUS,Volt,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
FMT, 183, 35, BCL8, QfHHHHHHHHHH, TimeUS,Volt,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
FMT, 184, 35, BCL9, QfHHHHHHHHHH, TimeUS,Volt,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
FMT, 166, 27, ATT, QccccCCCC, TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw
FMT, 185, 34, MAG, QhhhhhhhhhBI, TimeUS,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOfsX,MOfsY,MOfsZ,Health,S
FMT, 188, 14, MODE, QMBB, TimeUS,Mode,ModeNum,Rsn
FMT, 215, 16, RFND, QBCBB, TimeUS,Instance,Dist,Stat,Orient
FMT, 217, 32, DMS, IIIIIBBBBBBBBB, TimeMS,N,Dp,RT,RS,Fa,Fmn,Fmx,Pa,Pmn,Pmx,Sa,Smn,Smx
FMT, 237, 41, BCN, QBBfffffff, TimeUS,Health,Cnt,D0,D1,D2,D3,PosX,PosY,PosZ
FMT, 238, 56, PRX, QBfffffffffff, TimeUS,Health,D0,D45,D90,D135,D180,D225,D270,D315,DUp,CAn,CDis
FMT, 244, 49, PM, QHHIIHIIIIII, TimeUS,NLon,NLoop,MaxT,Mem,Load,IntE,IntEC,SPIC,I2CC,I2CI,ExUS
FMT, 240, 29, SRTL, QBHHBfff, TimeUS,Active,NumPts,MaxPts,Action,N,E,D
FMT, 252, 36, OABR, QBHHfLLLL, TimeUS,Active,DesYaw,Yaw,Mar,DLat,DLng,OALat,OALng
FMT, 253, 31, OADJ, QBBBBLLLL, TimeUS,State,Err,CurrPoint,TotPoints,DLat,DLng,OALat,OALng
FMT, 138, 53, IMU2, QffffffIIfBBHH, TimeUS,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
FMT, 148, 53, IMU3, QffffffIIfBBHH, TimeUS,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
FMT, 141, 45, AHR2, QccCfLLffff, TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng,Q1,Q2,Q3,Q4
FMT, 199, 31, POS, QLLfff, TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
FMT, 142, 45, SIM, QccCfLLffff, TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng,Q1,Q2,Q3,Q4
FMT, 64, 55, NKF1, QccCfffffffccce, TimeUS,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
FMT, 65, 35, NKF2, QbccccchhhhhhB, TimeUS,AZbias,GSX,GSY,GSZ,VWN,VWE,MN,ME,MD,MX,MY,MZ,MI
FMT, 66, 33, NKF3, Qcccccchhhcc, TimeUS,IVN,IVE,IVD,IPN,IPE,IPD,IMX,IMY,IMZ,IYAW,IVT
FMT, 67, 35, NKF4, QcccccfbbHBHHb, TimeUS,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
FMT, 68, 40, NKF5, QBhhhcccCCfff, TimeUS,NI,FIX,FIY,AFI,HAGL,offset,RI,rng,Herr,eAng,eVel,ePos
FMT, 69, 55, NKF6, QccCfffffffccce, TimeUS,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
FMT, 70, 35, NKF7, QbccccchhhhhhB, TimeUS,AZbias,GSX,GSY,GSZ,VWN,VWE,MN,ME,MD,MX,MY,MZ,MI
FMT, 71, 33, NKF8, Qcccccchhhcc, TimeUS,IVN,IVE,IVD,IPN,IPE,IPD,IMX,IMY,IMZ,IYAW,IVT
FMT, 72, 35, NKF9, QcccccfbbHBHHb, TimeUS,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
FMT, 73, 36, NKF0, QBccCCcccccccc, TimeUS,ID,rng,innov,SIV,TR,BPN,BPE,BPD,OFH,OFL,OFN,OFE,OFD
FMT, 74, 55, NK11, QccCfffffffccce, TimeUS,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
FMT, 75, 35, NK12, QbccccchhhhhhB, TimeUS,AZbias,GSX,GSY,GSZ,VWN,VWE,MN,ME,MD,MX,MY,MZ,MI
FMT, 76, 33, NK13, Qcccccchhhcc, TimeUS,IVN,IVE,IVD,IPN,IPE,IPD,IMX,IMY,IMZ,IYAW,IVT
FMT, 77, 35, NK14, QcccccfbbHBHHb, TimeUS,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
FMT, 78, 27, NKQ1, Qffff, TimeUS,Q1,Q2,Q3,Q4
FMT, 79, 27, NKQ2, Qffff, TimeUS,Q1,Q2,Q3,Q4
FMT, 80, 27, NKQ3, Qffff, TimeUS,Q1,Q2,Q3,Q4
FMT, 81, 55, XKF1, QccCfffffffccce, TimeUS,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
FMT, 82, 34, XKF2, QccccchhhhhhB, TimeUS,AX,AY,AZ,VWN,VWE,MN,ME,MD,MX,MY,MZ,MI
FMT, 83, 33, XKF3, Qcccccchhhcc, TimeUS,IVN,IVE,IVD,IPN,IPE,IPD,IMX,IMY,IMZ,IYAW,IVT
FMT, 84, 35, XKF4, QcccccfbbHBHHb, TimeUS,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
FMT, 85, 40, XKF5, QBhhhcccCCfff, TimeUS,NI,FIX,FIY,AFI,HAGL,offset,RI,rng,Herr,eAng,eVel,ePos
FMT, 86, 55, XKF6, QccCfffffffccce, TimeUS,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
FMT, 87, 34, XKF7, QccccchhhhhhB, TimeUS,AX,AY,AZ,VWN,VWE,MN,ME,MD,MX,MY,MZ,MI
FMT, 88, 33, XKF8, Qcccccchhhcc, TimeUS,IVN,IVE,IVD,IPN,IPE,IPD,IMX,IMY,IMZ,IYAW,IVT
FMT, 89, 35, XKF9, QcccccfbbHBHHb, TimeUS,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
FMT, 90, 36, XKF0, QBccCCcccccccc, TimeUS,ID,rng,innov,SIV,TR,BPN,BPE,BPD,OFH,OFL,OFN,OFE,OFD
FMT, 91, 55, XK11, QccCfffffffccce, TimeUS,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
FMT, 92, 34, XK12, QccccchhhhhhB, TimeUS,AX,AY,AZ,VWN,VWE,MN,ME,MD,MX,MY,MZ,MI
FMT, 93, 33, XK13, Qcccccchhhcc, TimeUS,IVN,IVE,IVD,IPN,IPE,IPD,IMX,IMY,IMZ,IYAW,IVT
FMT, 94, 35, XK14, QcccccfbbHBHHb, TimeUS,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
FMT, 95, 27, XKQ1, Qffff, TimeUS,Q1,Q2,Q3,Q4
FMT, 96, 27, XKQ2, Qffff, TimeUS,Q1,Q2,Q3,Q4
FMT, 97, 27, XKQ3, Qffff, TimeUS,Q1,Q2,Q3,Q4
FMT, 98, 35, XKFD, Qffffff, TimeUS,IX,IY,IZ,IVX,IVY,IVZ
FMT, 99, 59, XKV1, Qffffffffffff, TimeUS,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11
FMT, 100, 59, XKV2, Qffffffffffff, TimeUS,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23
FMT, 149, 34, TERR, QBLLHffHH, TimeUS,Status,Lat,Lng,Spacing,TerrH,CHeight,Pending,Loaded
FMT, 150, 22, UBX1, QBHBBHI, TimeUS,Instance,noisePerMS,jamInd,aPower,agcCnt,config
FMT, 151, 16, UBX2, QBbBbB, TimeUS,Instance,ofsI,magI,ofsQ,magQ
FMT, 152, 22, UBY1, QBHBBHI, TimeUS,Instance,noisePerMS,jamInd,aPower,agcCnt,config
FMT, 153, 16, UBY2, QBbBbB, TimeUS,Instance,ofsI,magI,ofsQ,magQ
FMT, 189, 42, GRAW, QIHBBddfBbB, TimeUS,WkMS,Week,numSV,sv,cpMes,prMes,doMes,mesQI,cno,lli
FMT, 190, 24, GRXH, QdHbBB, TimeUS,rcvTime,week,leapS,numMeas,recStat
FMT, 191, 41, GRXS, QddfBBBHBBBBB, TimeUS,prMes,cpMes,doMes,gnss,sv,freq,lock,cno,prD,cpD,doD,trk
FMT, 192, 63, SBFE, QIHBBdddfffff, TimeUS,TOW,WN,Mode,Err,Lat,Lng,Height,Undul,Vn,Ve,Vu,COG
FMT, 154, 23, ESC1, QeCCcH, TimeUS,RPM,Volt,Curr,Temp,CTot
FMT, 155, 23, ESC2, QeCCcH, TimeUS,RPM,Volt,Curr,Temp,CTot
FMT, 156, 23, ESC3, QeCCcH, TimeUS,RPM,Volt,Curr,Temp,CTot
FMT, 157, 23, ESC4, QeCCcH, TimeUS,RPM,Volt,Curr,Temp,CTot
FMT, 158, 23, ESC5, QeCCcH, TimeUS,RPM,Volt,Curr,Temp,CTot
FMT, 159, 23, ESC6, QeCCcH, TimeUS,RPM,Volt,Curr,Temp,CTot
FMT, 160, 23, ESC7, QeCCcH, TimeUS,RPM,Volt,Curr,Temp,CTot
FMT, 161, 23, ESC8, QeCCcH, TimeUS,RPM,Volt,Curr,Temp,CTot
FMT, 162, 25, CSRV, QBfffB, TimeUS,Id,Pos,Force,Speed,Pow
FMT, 163, 33, CESC, QBIfffiB, TimeUS,Id,ECnt,Voltage,Curr,Temp,RPM,Pow
FMT, 186, 34, MAG2, QhhhhhhhhhBI, TimeUS,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOfsX,MOfsY,MOfsZ,Health,S
FMT, 187, 34, MAG3, QhhhhhhhhhBI, TimeUS,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOfsX,MOfsY,MOfsZ,Health,S
FMT, 193, 31, ACC1, QQfff, TimeUS,SampleUS,AccX,AccY,AccZ
FMT, 194, 31, ACC2, QQfff, TimeUS,SampleUS,AccX,AccY,AccZ
FMT, 195, 31, ACC3, QQfff, TimeUS,SampleUS,AccX,AccY,AccZ
FMT, 196, 31, GYR1, QQfff, TimeUS,SampleUS,GyrX,GyrY,GyrZ
FMT, 197, 31, GYR2, QQfff, TimeUS,SampleUS,GyrX,GyrY,GyrZ
FMT, 198, 31, GYR3, QQfff, TimeUS,SampleUS,GyrX,GyrY,GyrZ
FMT, 200, 39, PIDR, Qfffffff, TimeUS,Tar,Act,Err,P,I,D,FF
FMT, 201, 39, PIDP, Qfffffff, TimeUS,Tar,Act,Err,P,I,D,FF
FMT, 202, 39, PIDY, Qfffffff, TimeUS,Tar,Act,Err,P,I,D,FF
FMT, 203, 39, PIDA, Qfffffff, TimeUS,Tar,Act,Err,P,I,D,FF
FMT, 204, 39, PIDS, Qfffffff, TimeUS,Tar,Act,Err,P,I,D,FF
FMT, 205, 56, DSTL, QBfLLeccfeffff, TimeUS,Stg,THdg,Lat,Lng,Alt,XT,Travel,L1I,Loiter,Des,P,I,D
FMT, 164, 38, BAR2, QffcfIffB, TimeUS,Alt,Press,Temp,CRt,SMS,Offset,GndTemp,Health
FMT, 216, 38, BAR3, QffcfIffB, TimeUS,Alt,Press,Temp,CRt,SMS,Offset,GndTemp,Health
FMT, 206, 35, VIBE, QfffIII, TimeUS,VibeX,VibeY,VibeZ,Clip0,Clip1,Clip2
FMT, 207, 47, IMT, Qfffffffff, TimeUS,DelT,DelvT,DelaT,DelAX,DelAY,DelAZ,DelVX,DelVY,DelVZ
FMT, 208, 47, IMT2, Qfffffffff, TimeUS,DelT,DelvT,DelaT,DelAX,DelAY,DelAZ,DelVX,DelVY,DelVZ
FMT, 209, 47, IMT3, Qfffffffff, TimeUS,DelT,DelvT,DelaT,DelAX,DelAY,DelAZ,DelVX,DelVY,DelVZ
FMT, 241, 31, ISBH, QHBBHHQf, TimeUS,N,type,instance,mul,smp_cnt,SampleUS,smp_rate
FMT, 242, 207, ISBD, QHHaaa, TimeUS,N,seqno,x,y,z
FMT, 210, 24, ORGN, QBLLe, TimeUS,Type,Lat,Lng,Alt
FMT, 239, 33, DSF, QIHIIII, TimeUS,Dp,Blk,Bytes,FMn,FMx,FAv
FMT, 211, 19, RPM, Qff, TimeUS,rpm1,rpm2
FMT, 230, 47, GMB1, Iffffffffff, TimeMS,dt,dax,day,daz,dvx,dvy,dvz,jx,jy,jz
FMT, 231, 44, GMB2, IBfffffffff, TimeMS,es,ex,ey,ez,rx,ry,rz,tx,ty,tz
FMT, 232, 13, GMB3, Ihhh, TimeMS,rl_torque_cmd,el_torque_cmd,az_torque_cmd
FMT, 233, 59, RATE, Qffffffffffff, TimeUS,RDes,R,ROut,PDes,P,POut,YDes,Y,YOut,ADes,A,AOut
FMT, 234, 23, RALY, QBBLLh, TimeUS,Tot,Seq,Lat,Lng,Alt
FMT, 248, 18, MAV, QBHHH, TimeUS,chan,txp,rxp,rxdp
FMT, 235, 43, VISO, Qffffffff, TimeUS,dt,AngDX,AngDY,AngDZ,PosDX,PosDY,PosDZ,conf
FMT, 245, 28, OF, QBffff, TimeUS,Qual,flowX,flowY,bodyX,bodyY
FMT, 247, 21, WENC, Qfbfb, TimeUS,Dist0,Qual0,Dist1,Qual1
FMT, 250, 35, ADSB, QIiiiHHhH, TimeUS,ICAO_address,Lat,Lng,Alt,Heading,Hor_vel,Ver_vel,Squark
FMT, 221, 23, SBPH, QIII, TimeUS,CrcError,LastInject,IARhyp
FMT, 226, 67, SBRH, QQQQQQQQ, TimeUS,msg_flag,1,2,3,4,5,6
FMT, 227, 123, SBRM, QQQQQQQQQQQQQQQ, TimeUS,msg_flag,1,2,3,4,5,6,7,8,9,10,11,12,13
FMT, 246, 12, EV, QB, TimeUS,Id
FMT, 228, 23, SBRE, QHIiBB, TimeUS,GWk,GMS,ns_residual,level,quality
FMT, 251, 14, ARM, QBH, TimeUS,ArmState,ArmChecks
FMT, 249, 13, ERR, QBB, TimeUS,Subsys,ECode
FMT, 7, 24, PTUN, QBfff, TimeUS,Param,TunVal,TunMin,TunMax
FMT, 0, 59, CTUN, Qffffffefffhhf, TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt,N
FMT, 6, 27, MOTB, Qffff, TimeUS,LiftMax,BatVolt,BatRes,ThLimit
FMT, 1, 14, D16, QBh, TimeUS,Id,Value
FMT, 2, 14, DU16, QBH, TimeUS,Id,Value
FMT, 3, 16, D32, QBi, TimeUS,Id,Value
FMT, 4, 16, DU32, QBI, TimeUS,Id,Value
FMT, 5, 16, DFLT, QBf, TimeUS,Id,Value
FMT, 8, 27, HELI, Qffff, TimeUS,DRRPM,ERRPM,Gov,Throt
FMT, 9, 50, PL, QBBfffffffIIB, TimeUS,Heal,TAcq,pX,pY,vX,vY,mX,mY,mZ,LastMeasUS,EKFOutl,Est
FMT, 11, 47, SIDD, Qfffffffff, TimeUS,Time,Targ,F,Gx,Gy,Gz,Ax,Ay,Az
FMT, 12, 40, SIDS, QBfffffff, TimeUS,Ax,Mag,FSt,FSp,TFin,TC,TR,TFout
FMT, 10, 36, GUID, QBffffff, TimeUS,Type,pX,pY,pZ,vX,vY,vZ
UNIT, 699200, 45, 
UNIT, 699221, 63, UNKNOWN
UNIT, 699242, 65, A
UNIT, 699264, 100, deg
MAG, 1102001, 46, 151, 482, -472, 276, -249, 0, 0, 0, 1, 1101980
MAG2, 1102001, -956, 122, 719, -669, 175, 332, 0, 0, 0, 1, 1101988
MAG3, 1102001, 435, -5, 608, 177, 539, 377, 0, 0, 0, 1, 1101995
MAG, 1102066, 46, 151, 482, -472, 276, -249, 0, 0, 0, 1, 1101980
MAG2, 1102066, -956, 122, 719, -669, 175, 332, 0, 0, 0, 1, 1101988
MAG3, 1102066, 435, -5, 608, 177, 539, 377, 0, 0, 0, 1, 1101995
MSG, 1102639, Calibrating barometer
BARO, 1102707, 8.050335, 100282, 32.87, 0, 1102, 0, 0, 1
BAR2, 1102707, 8.358422, 100412.8, 33.11, 0, 1102, 0, 0, 1
BARO, 1213088, 7.709686, 100286.3, 32.93, 0, 1213, 0, 0, 1
BAR2, 1213088, 7.857468, 100419, 33.1, 0, 1213, 0, 0, 1
BARO, 1323699, 7.50179, 100288.9, 32.94, 0, 1323, 0, 0, 1
BAR2, 1323699, 7.82741, 100419.4, 33.11, 0, 1323, 0, 0, 1
BARO, 1434958, 7.514314, 100288.8, 32.95, 0, 1434, 0, 0, 1
BAR2, 1434958, 7.564409, 100422.7, 33.11, 0, 1434, 0, 0, 1
BARO, 1545244, 7.401599, 100290.2, 32.95, 0, 1545, 0, 0, 1
BAR2, 1545244, 7.777315, 100420.1, 33.11, 0, 1545, 0, 0, 1
BARO, 1655617, 7.479247, 100289.2, 32.95, -0.1611219, 1655, 0, 0, 1
BAR2, 1655617, 7.649572, 100421.6, 33.11, -0.1611219, 1655, 0, 0, 1
BARO, 1766558, 7.66961, 100286.8, 32.95, -0.5092208, 1766, 0, 0, 1
BAR2, 1766558, 7.662096, 100421.5, 33.11, -0.5092208, 1766, 0, 0, 1
BARO, 1877855, 7.644562, 100287.1, 32.96, 0.1214376, 1877, 0, 0, 1
BAR2, 1877855, 7.714696, 100420.8, 33.11, 0.1214376, 1877, 0, 0, 1
BARO, 1988727, 7.536857, 100288.5, 32.96, 0.5358685, 1988, 0, 0, 1
BAR2, 1988727, 7.619514, 100422, 33.1, 0.5358685, 1988, 0, 0, 1
BARO, 2099315, 7.569419, 100288.1, 32.96, 0.4009053, 2099, 0, 0, 1
BAR2, 2099315, 7.662096, 100421.5, 33.1, 0.4009053, 2099, 0, 0, 1
BARO, 2209634, 7.576933, 100288, 32.96, -0.03581507, 2209, 0, 0, 1
BAR2, 2209634, 7.732229, 100420.6, 33.1, -0.03581507, 2209, 0, 0, 1
BARO, 2310071, 7.549381, 100288.3, 32.96, -0.1903008, 2310, 0, 0, 1
BAR2, 2310071, 7.707181, 100420.9, 33.1, -0.1903008, 2310, 0, 0, 1
BARO, 2410655, 7.466723, 100289.4, 32.96, -0.1123106, 2410, 0, 0, 1
BAR2, 2410655, 7.619514, 100422, 33.1, -0.1123106, 2410, 0, 0, 1
BARO, 2511155, 7.406609, 100290.1, 32.96, -0.1831467, 2511, 0, 0, 1
BAR2, 2511155, 7.77481, 100420.1, 33.1, -0.1831467, 2511, 0, 0, 1
BARO, 2612095, 7.474238, 100289.3, 32.96, -0.3877469, 2612, 0, 0, 1
BAR2, 2612095, 7.60699, 100422.2, 33.1, -0.3877469, 2612, 0, 0, 1
MSG, 2712237, Barometer 1 calibration complete
MSG, 2712276, Barometer 2 calibration complete
FMT, 236, 28, HEAT, Qfbfff, TimeUS,Temp,Targ,P,I,Out
FMTU, 4244055, 236, s?????, F?????
HEAT, 4243696, 0.06315911, 45, 8987.368, 6.740526, 100
HEAT, 5268635, 36.81993, 45, 1636.013, 11.73719, 100
EV, 5357499, 18
EV, 5357510, 17
MAG, 5378850, 44, 153, 484, -472, 276, -249, 0, 0, 0, 1, 5378829
MAG2, 5378850, -439, 258, 704, -669, 175, 332, 0, 0, 0, 1, 5378837
MAG3, 5378850, -139, 278, 543, 177, 539, 377, 0, 0, 0, 1, 5378844
DSF, 5379661, 1, 222, 17318, 949, 16332, 9837
UNIT, 5379676, 98, B
UNIT, 5379698, 107, deg/s
UNIT, 5379719, 68, deglatitude
UNIT, 5379887, 101, deg/s/s
UNIT, 5379909, 69, rad/s
UNIT, 5379944, 71, Gauss
UNIT, 5379966, 104, degheading
UNIT, 5379988, 105, A.s
UNIT, 5380009, 74, W.s
UNIT, 5380030, 76, rad/s/s
UNIT, 5380177, 109, m
UNIT, 5380199, 110, m/s
UNIT, 5380220, 111, m/s/s
UNIT, 5380242, 79, degC
UNIT, 5380341, 37, %
UNIT, 5380362, 83, satellites
UNIT, 5380384, 115, s
UNIT, 5380405, 113, rpm
UNIT, 5380481, 114, rad
UNIT, 5380609, 85, deglongitude
UNIT, 5380631, 117, ppm
UNIT, 5380724, 118, V
UNIT, 5380745, 80, Pa
UNIT, 5380766, 119, Ohm
UNIT, 5380788, 89, us
UNIT, 5380809, 122, Hz
UNIT, 5380830, 35, instance
MULT, 5380849, 45, 0
MULT, 5380862, 63, 1
MULT, 5380875, 50, 100
MULT, 5381036, 49, 10
MULT, 5381049, 48, 1
MULT, 5381062, 65, 0.100000001490116
MULT, 5381075, 66, 0.00999999977648258
MULT, 5381088, 67, 0.00100000004749745
MULT, 5381101, 68, 9.99999974737875E-05
MULT, 5381146, 69, 9.99999974737875E-06
MULT, 5381158, 70, 9.99999997475243E-07
MULT, 5381171, 71, 1.0000000116861E-07
MULT, 5381184, 33, 3.59999990463257
MULT, 5381197, 47, 3600
FMTU, 5381291, 128, -b---, -----
FMTU, 5381310, 219, s--, F--
FMTU, 5381327, 218, s---, F---
FMTU, 5381345, 220, s--, F--
FMTU, 5381363, 129, s--, F--
FMTU, 5381542, 130, s---SmDUmnhnh-, F---0BGGB000--
FMTU, 5381561, 131, s---SmDUmnhnh-, F---0BGGB000--
FMTU, 5381580, 132, s---SmDUmnhnh-, F---0BGGB000--
FMTU, 5381599, 212, smmmnd-ss, FBBBB0-CC
FMTU, 5381618, 213, smmmnd-ss, FBBBB0-CC
FMTU, 5381636, 214, smmmnd-ss, FBBBB0-CC
FMTU, 5381726, 133, sEEEooo--O--zz, F000000-----00
FMTU, 5381750, 134, s-, F-
FMTU, 5381768, 135, sYYYYYYYYYYYYYY, F--------------
FMTU, 5381787, 136, sYYYYYYYYYYYYYY, F--------------
FMTU, 5381806, 137, s-, F-
FMTU, 5381824, 139, smPOnsmO-, F00B0C?0-
FMTU, 5381843, 140, svv--, F00--
FMTU, 5381861, 143, s-------DUm-, F-------GG0-
FMTU, 5381880, 144, s---------------, F---------------
FMTU, 5382087, 145, s-------, F-------
FMTU, 5382105, 147, s--DUmmmddd, F--GGBBBBBB
FMTU, 5382174, 229, s--DUmmmddd, F--GGBBBBBB
FMTU, 5382193, 165, snPOPP----, F00B00----
FMTU, 5382212, 243, snPOPP----, F00B00----
FMTU, 5382230, 167, svvA?JOw, F000?/?0
FMTU, 5382328, 168, svvA?JOw, F000?/?0
FMTU, 5382347, 169, svvA?JOw, F000?/?0
FMTU, 5382365, 170, svvA?JOw, F000?/?0
